Year,Individuals using the Internet (% of population),"Literacy rate, youth total (% of people ages 15-24)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","ICT service exports (BoP, current US$)",,,,,,
2010,11.5,..,7.861,69.387,47427758.94,,,,,15,
2011,13.80000019,..,7.896,69.536,49982616.43,,,,,,
2012,16.10000038,..,7.861,69.048,50519326.35,,,,,,
2013,19.10000038,79.16,7.713,68.211,51656515.83,,,,,,
2014,21,..,8.044,68.091,53640000,,,,,,
2015,22.51420021,..,8.457,67.714,77184000,,,,,,
2016,24.13750076,72.95999908,9.1,66.923,117652171.3,,,,,,
2017,25.87789917,..,9.707,65.611,290045404.4,,,,,,11.5
2018,27.74370003,..,10.138,64.758,230570454.3,,,,,,41.21139908
2019,29.74410057,..,10.418,63.716,211874897.6,,,,,,26.62257341
2020,31.88879967,..,10.842,61.712,163385056.5,,,,,,25.87789917
2021,35.50979996,73.66999817,8.991,62.104,168601841,,,,,,
2022,39.14720154,..,6.024,64.169,263157226.2,,,,,,
2023,40.06399918,..,5.131,64.874,190259351.3,,,,,,
2024,41.21139908,81.36000061,5.088,64.846,184351733.9,,,,,,
2025,..,..,5.34,64.784,107979745.2,,,,,,
